,date,home_team,away_team,home_age,home_value,home_elo,away_age,away_value,away_elo,Group,City,neutral,home_weather_boost,away_weather_boost,elo_difference,age_difference,value_difference,is_friendly,avg_elo
0,2026,Mexico,South Korea,27.9,0.31,1900,28.1,0.09,1758,A,Guadalajara,0,25,0,142,-0.20000000000000284,0.22,0,1829.0
1,2026,Mexico,Czechia,27.9,0.31,1900,27.6,0.3,1725,A,Mexico City,0,25,-15,175,0.29999999999999716,0.010000000000000009,0,1812.5
2,2026,Mexico,South Africa,27.9,0.31,1900,26.8,-0.28,1518,A,Mexico City,0,25,0,382,1.0999999999999979,0.5900000000000001,0,1709.0
3,2026,South Korea,Czechia,28.1,0.09,1758,27.6,0.3,1725,A,Guadalajara,1,0,-15,33,0.5,-0.21,0,1741.5
4,2026,South Korea,South Africa,28.1,0.09,1758,26.8,-0.28,1518,A,Monterrey,1,0,0,240,1.3000000000000007,0.37,0,1638.0
5,2026,Czechia,South Africa,27.6,0.3,1725,26.8,-0.28,1518,A,Atlanta,1,-15,0,207,0.8000000000000007,0.5800000000000001,0,1621.5
6,2026,Canada,Switzerland,27.1,0.37,1808,28.3,0.9,1909,B,Vancouver,0,15,15,-101,-1.1999999999999993,-0.53,0,1858.5
7,2026,Switzerland,Bosnia and Herzegovina,28.3,0.9,1894,26.4,0.14,1591,B,Los Angeles,1,0,0,303,1.9000000000000021,0.76,0,1742.5
8,2026,Switzerland,Qatar,28.3,0.9,1894,29.4,-0.41,1423,B,San Francisco Bay Area,1,0,0,471,-1.0999999999999979,1.31,0,1658.5
9,2026,Canada,Bosnia and Herzegovina,27.1,0.37,1808,26.4,0.14,1591,B,Toronto,0,15,0,217,0.7000000000000028,0.22999999999999998,0,1699.5
10,2026,Canada,Qatar,27.1,0.37,1808,29.4,-0.41,1423,B,Vancouver,0,15,0,385,-2.299999999999997,0.78,0,1615.5
11,2026,Bosnia and Herzegovina,Qatar,26.4,0.14,1591,29.4,-0.41,1423,B,Seattle,1,0,0,168,-3.0,0.55,0,1507.0
12,2026,Brazil,Morocco,29.2,3.36,1988,26.4,1.59,1824,C,New York/New Jersey,1,0,0,164,2.8000000000000007,1.7699999999999998,0,1906.0
13,2026,Brazil,Scotland,29.2,3.36,2013,29.2,0.22,1755,C,Miami,1,25,-15,258,0.0,3.1399999999999997,0,1884.0
14,2026,Brazil,Haiti,29.2,3.36,1988,27.6,-0.26,1554,C,Philadelphia,1,0,0,434,1.5999999999999979,3.62,0,1771.0
15,2026,Morocco,Scotland,26.4,1.59,1824,29.2,0.22,1785,C,Boston,1,0,15,39,-2.8000000000000007,1.37,0,1804.5
16,2026,Morocco,Haiti,26.4,1.59,1849,27.6,-0.26,1579,C,Atlanta,1,25,25,270,-1.2000000000000028,1.85,0,1714.0
17,2026,Scotland,Haiti,29.2,0.22,1785,27.6,-0.26,1554,C,Boston,1,15,0,231,1.5999999999999979,0.48,0,1669.5
18,2026,Turkey,Paraguay,27.7,1.49,1906,29.0,0.15,1832,D,San Francisco Bay Area,1,0,0,74,-1.3000000000000007,1.34,0,1869.0
19,2026,Turkey,Australia,27.7,1.49,1906,27.4,-0.17,1774,D,Vancouver,1,0,0,132,0.3000000000000007,1.66,0,1840.0
20,2026,United States,Turkey,26.9,1.12,1733,27.7,1.49,1906,D,Los Angeles,0,0,0,-173,-0.8000000000000007,-0.3699999999999999,0,1819.5
21,2026,Paraguay,Australia,29.0,0.15,1832,27.4,-0.17,1774,D,San Francisco Bay Area,1,0,0,58,1.6000000000000014,0.32,0,1803.0
22,2026,United States,Paraguay,26.9,1.12,1733,29.0,0.15,1832,D,Los Angeles,0,0,0,-99,-2.1000000000000014,0.9700000000000001,0,1782.5
23,2026,United States,Australia,26.9,1.12,1733,27.4,-0.17,1774,D,Seattle,0,0,0,-41,-0.5,1.29,0,1753.5
24,2026,Ecuador,Germany,26.1,1.05,1935,28.0,3.6,1940,E,New York/New Jersey,1,0,15,-5,-1.8999999999999986,-2.55,0,1937.5
25,2026,Ecuador,Ivory Coast,26.1,1.05,1935,25.9,1.69,1695,E,Philadelphia,1,0,0,240,0.20000000000000284,-0.6399999999999999,0,1815.0
26,2026,Ecuador,Cura√ßao,26.1,1.05,1935,28.0,-0.38,1433,E,Kansas City,1,0,0,502,-1.8999999999999986,1.4300000000000002,0,1684.0
27,2026,Germany,Ivory Coast,28.0,3.6,1940,25.9,1.69,1695,E,Toronto,1,15,0,245,2.1000000000000014,1.9100000000000001,0,1817.5
28,2026,Germany,Cura√ßao,28.0,3.6,1910,28.0,-0.38,1433,E,Houston,1,-15,0,477,0.0,3.98,0,1671.5
29,2026,Ivory Coast,Cura√ßao,25.9,1.69,1695,28.0,-0.38,1433,E,Philadelphia,1,0,0,262,-2.1000000000000014,2.07,0,1564.0
30,2026,Netherlands,Japan,27.7,2.87,1929,27.8,0.64,1906,F,Dallas,1,-15,0,23,-0.10000000000000142,2.23,0,1917.5
31,2026,Netherlands,Sweden,27.7,2.87,1929,27.6,1.21,1697,F,Houston,1,-15,-15,232,0.09999999999999787,1.6600000000000001,0,1813.0
32,2026,Netherlands,Tunisia,27.7,2.87,1944,26.6,-0.2,1633,F,Kansas City,1,0,0,311,1.0999999999999979,3.0700000000000003,0,1788.5
33,2026,Japan,Sweden,27.8,0.64,1906,27.6,1.21,1697,F,Dallas,1,0,-15,209,0.1999999999999993,-0.57,0,1801.5
34,2026,Japan,Tunisia,27.8,0.64,1906,26.6,-0.2,1658,F,Monterrey,1,0,25,248,1.1999999999999993,0.8400000000000001,0,1782.0
35,2026,Sweden,Tunisia,27.6,1.21,1697,26.6,-0.2,1658,F,Monterrey,1,-15,25,39,1.0,1.41,0,1677.5
36,2026,Belgium,Iran,27.6,1.8,1888,30.4,-0.36,1772,G,Los Angeles,1,0,0,116,-2.799999999999997,2.16,0,1830.0
37,2026,Belgium,Egypt,27.6,1.8,1903,29.1,0.0,1699,G,Seattle,1,15,0,204,-1.5,1.8,0,1801.0
38,2026,Belgium,New Zealand,27.6,1.8,1903,28.1,-0.35,1578,G,Vancouver,1,15,15,325,-0.5,2.15,0,1740.5
39,2026,Iran,Egypt,30.4,-0.36,1772,29.1,0.0,1699,G,Seattle,1,0,0,73,1.2999999999999972,-0.36,0,1735.5
40,2026,Iran,New Zealand,30.4,-0.36,1772,28.1,-0.35,1563,G,Los Angeles,1,0,0,209,2.299999999999997,-0.010000000000000009,0,1667.5
41,2026,Egypt,New Zealand,29.1,0.0,1699,28.1,-0.35,1578,G,Vancouver,1,0,15,121,1.0,0.35,0,1638.5
42,2026,Spain,Uruguay,26.7,4.62,2155,28.7,1.01,1917,H,Guadalajara,1,0,25,238,-2.0,3.6100000000000003,0,2036.0
43,2026,Spain,Cape Verde,26.7,4.62,2155,29.7,-0.26,1601,H,Atlanta,1,0,25,554,-3.0,4.88,0,1878.0
44,2026,Spain,Saudi Arabia,26.7,4.62,2155,28.5,-0.32,1591,H,Atlanta,1,0,25,564,-1.8000000000000007,4.94,0,1873.0
45,2026,Uruguay,Cape Verde,28.7,1.01,1917,29.7,-0.26,1601,H,Miami,1,25,25,316,-1.0,1.27,0,1759.0
46,2026,Uruguay,Saudi Arabia,28.7,1.01,1917,28.5,-0.32,1591,H,Miami,1,25,25,326,0.1999999999999993,1.33,0,1754.0
47,2026,Cape Verde,Saudi Arabia,29.7,-0.26,1601,28.5,-0.32,1591,H,Miami,1,25,25,10,1.1999999999999993,0.06,0,1596.0
48,2026,France,Norway,27.0,5.87,2062,26.8,1.97,1932,I,Boston,1,0,15,130,0.1999999999999993,3.9000000000000004,0,1997.0
49,2026,France,Senegal,27.0,5.87,2062,27.1,1.51,1867,I,New York/New Jersey,1,0,0,195,-0.10000000000000142,4.36,0,1964.5
50,2026,France,Iraq,27.0,5.87,2062,27.2,-0.4,1618,I,Philadelphia,1,0,0,444,-0.1999999999999993,6.2700000000000005,0,1840.0
51,2026,Norway,Senegal,26.8,1.97,1932,27.1,1.51,1867,I,New York/New Jersey,1,15,0,65,-0.3000000000000007,0.45999999999999996,0,1899.5
52,2026,Norway,Iraq,26.8,1.97,1932,27.2,-0.4,1618,I,Boston,1,15,0,314,-0.3999999999999986,2.37,0,1775.0
53,2026,Senegal,Iraq,27.1,1.51,1867,27.2,-0.4,1618,I,Toronto,1,0,0,249,-0.09999999999999787,1.9100000000000001,0,1742.5
54,2026,Argentina,Austria,29.1,2.85,2138,28.6,0.56,1815,J,Dallas,1,25,-15,323,0.5,2.29,0,1976.5
55,2026,Argentina,Algeria,29.1,2.85,2113,26.9,0.58,1760,J,Kansas City,1,0,0,353,2.200000000000003,2.27,0,1936.5
56,2026,Argentina,Jordan,29.1,2.85,2138,28.4,-0.4,1710,J,Dallas,1,25,25,428,0.7000000000000028,3.25,0,1924.0
57,2026,Austria,Algeria,28.6,0.56,1815,26.9,0.58,1785,J,Houston,1,-15,25,30,1.7000000000000028,-0.019999999999999907,0,1800.0
58,2026,Austria,Jordan,28.6,0.56,1830,28.4,-0.4,1685,J,San Francisco Bay Area,1,0,0,145,0.20000000000000284,0.9600000000000001,0,1757.5
59,2026,Algeria,Jordan,26.9,0.58,1760,28.4,-0.4,1685,J,San Francisco Bay Area,1,0,0,75,-1.5,0.98,0,1722.5
60,2026,Portugal,Colombia,28.0,3.71,1984,30.1,0.77,2002,K,Dallas,1,0,25,-18,-2.1000000000000014,2.94,0,1993.0
61,2026,Portugal,Uzbekistan,28.0,3.71,1984,28.5,-0.13,1718,K,Houston,1,0,0,266,-0.5,3.84,0,1851.0
62,2026,Portugal,Congo,28.0,3.71,1984,24.6,-0.48,1686,K,Houston,1,0,25,298,3.3999999999999986,4.1899999999999995,0,1835.0
63,2026,Colombia,Uzbekistan,30.1,0.77,2002,28.5,-0.13,1718,K,Mexico City,1,25,0,284,1.6000000000000014,0.9,0,1860.0
64,2026,Colombia,Congo,30.1,0.77,2002,24.6,-0.48,1686,K,Guadalajara,1,25,25,316,5.5,1.25,0,1844.0
65,2026,Uzbekistan,Congo,28.5,-0.13,1718,24.6,-0.48,1686,K,Atlanta,1,0,25,32,3.8999999999999986,0.35,0,1702.0
66,2026,England,Croatia,27.1,5.2,2005,28.3,1.13,1908,L,Dallas,1,-15,0,97,-1.1999999999999993,4.07,0,1956.5
67,2026,England,Panama,27.1,5.2,2035,30.4,-0.34,1734,L,New York/New Jersey,1,15,0,301,-3.299999999999997,5.54,0,1884.5
68,2026,England,Ghana,27.1,5.2,2035,27.0,0.49,1510,L,Boston,1,15,0,525,0.10000000000000142,4.71,0,1772.5
69,2026,Croatia,Panama,28.3,1.13,1908,30.4,-0.34,1734,L,Toronto,1,0,0,174,-2.099999999999998,1.47,0,1821.0
70,2026,Croatia,Ghana,28.3,1.13,1908,27.0,0.49,1510,L,Philadelphia,1,0,0,398,1.3000000000000007,0.6399999999999999,0,1709.0
71,2026,Panama,Ghana,30.4,-0.34,1734,27.0,0.49,1510,L,Toronto,1,0,0,224,3.3999999999999986,-0.8300000000000001,0,1622.0
